Unif,Player,Pos,Ba,Age,HiLvl,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF,IBB,DP,AVG,OBP,SLG,OPS,TB,XBH,PA,babip,ISO,SecA,wOBA,BB%,SO%,K-BB,HR%,AB/HR,XBH%,Draft Information,Status,Current Org (Level)
10,Tanner Dodson,p,B,21,A-,54,228,40,73,12,0,1,27,12,5,19,40,6,0,2,0,1,0.32,0.384,0.386,0.77,88,13,255,0.381,0.066,0.18,0.342,7.5,15.7,2.1,0.4,228,17.8,2018- 2-  71-TBA,Minors,Tampa Bay Rays (A-)
6,Tyrus Greene,c,L,21,RK,54,219,41,70,7,0,3,20,9,3,28,35,8,2,1,0,1,0.32,0.414,0.393,0.807,86,10,258,0.368,0.073,0.228,0.362,10.9,13.6,1.3,1.2,73,14.3,2018-16- 468-CHA,, 
20,Andrew Vaughn,1b,R,20,NCAA,54,199,59,80,14,0,23,63,4,4,44,18,12,0,1,0,3,0.402,0.531,0.819,1.35,163,37,256,0.358,0.417,0.638,0.551,17.2,7,0.4,9,8.7,46.3, ,, 
14,Jonah Davis,of,L,20,RK,54,193,48,62,9,2,14,58,6,5,27,75,19,0,3,0,1,0.321,0.446,0.606,1.052,117,25,242,0.449,0.285,0.43,0.445,11.2,31,2.8,5.8,13.8,40.3,2018-15- 444-PIT,Minors,Pittsburgh Pirates (Rk)
2,Darren Baker,ss,L,19,NCAA,44,172,29,47,6,0,1,23,5,1,7,18,1,4,2,0,3,0.273,0.302,0.326,0.628,56,7,186,0.297,0.053,0.116,0.276,3.8,9.7,2.6,0.5,172,14.9,2017-27- 823-WAS,, 
1,Sam Wezniak,if,R,19,NCAA,46,154,29,37,7,0,6,26,2,2,21,42,4,4,2,0,1,0.24,0.343,0.403,0.746,62,13,185,0.287,0.163,0.299,0.328,11.4,22.7,2,3.2,25.7,35.1, ,, 
9,Cameron Eden,if,R,20,NCAA,44,154,20,38,7,0,0,21,6,3,15,37,0,0,4,0,1,0.247,0.306,0.292,0.598,45,7,173,0.314,0.045,0.162,0.268,8.7,21.4,2.5,0,0,18.4, ,, 
3,Max Flower,of,R,20,NCAA,47,150,21,43,7,2,1,30,2,2,11,39,0,1,2,0,1,0.287,0.331,0.38,0.711,57,10,164,0.375,0.093,0.167,0.31,6.7,23.8,3.6,0.6,150,23.3, ,, 
4,Ripken Reyes,if,B,21,NCAA,39,115,18,29,5,1,1,7,1,0,17,18,4,2,0,0,2,0.252,0.368,0.339,0.707,39,7,138,0.292,0.087,0.243,0.322,12.3,13,1.1,0.7,115,24.1, ,, 
25,Korey Lee,c,R,19,NCAA,36,101,16,24,4,0,5,26,1,0,13,22,3,1,5,0,0,0.238,0.328,0.426,0.754,43,9,123,0.241,0.188,0.327,0.324,10.6,17.9,1.7,4.1,20.2,37.5, ,, 
15,Jeffrey Mitchell,of,R,20,NCAA,30,100,16,24,5,0,2,7,5,0,12,26,5,3,1,0,0,0.24,0.347,0.35,0.697,35,7,121,0.301,0.11,0.28,0.315,9.9,21.5,2.2,1.7,50,29.2, ,, 
18,Matt Ruff,c,R,22,NCAA,22,38,6,7,2,0,0,6,0,0,7,7,1,0,1,0,3,0.184,0.319,0.237,0.556,9,2,47,0.219,0.053,0.237,0.265,14.9,14.9,1,0,0,28.6, ,, 
26,Quentin Selma,if,,19,NCAA,17,29,3,3,0,0,0,1,0,0,5,9,0,0,1,0,0,0.103,0.229,0.103,0.332,3,0,35,0.143,0,0.172,0.174,14.3,25.7,1.8,0,0,0, ,, 
28,Tommy Henderson,if,,20,NCAA,5,7,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.125,0,0.125,0,0,8,0,0,0.143,0.086,12.5,25,2,0,0,0, ,, 
48,John Lagattuta,of,L,19,NCAA,5,7,1,0,0,0,0,1,0,0,2,4,1,0,0,0,0,0,0.3,0,0.3,0,0,10,0,0,0.286,0.21,20,40,2,0,0,0, ,, 
8,Sam Cachola,of,R,19,NCAA,7,5,3,2,1,0,0,1,0,0,3,1,0,0,0,0,0,0.4,0.625,0.6,1.225,3,1,8,0.5,0.2,0.8,0.525,37.5,12.5,0.3,0,0,50, ,, 
36,Connor Mack,of,,19,NCAA,14,5,2,1,0,0,0,1,2,0,1,3,0,0,1,0,0,0.2,0.286,0.2,0.486,1,0,7,0.333,0,0.6,0.224,14.3,42.9,3,0,0,0, ,, 
19,Conner Bock,if,L,20,NCAA,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,0,0, ,, 
30,Cole Lemmel,of,R,21,NCAA,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,0,0, ,, 
